Date,Open,High,Low,Close,Volume
2023-02-22,166.93,167.15,164.53,165.57,34440836
2023-02-23,165.57,166.79,164.61,166.25,37602666
2023-02-24,166.25,166.55,163.37,163.71,42424925
2023-02-27,163.71,164.45,162.11,162.17,44298421
2023-02-28,162.17,165.53,161.99,165.13,57375157
2023-03-01,165.13,165.95,165.06,165.76,51344918
2023-03-02,165.76,166.45,164.97,166.1,33384272
2023-03-03,166.1,166.3,162.0,162.15,32527908
2023-03-06,162.15,164.59,161.51,164.19,42663965
2023-03-07,164.19,165.17,163.51,163.81,37593068
2023-03-08,163.81,164.15,161.85,162.17,32802165
2023-03-09,162.17,163.8,161.7,163.14,41428010
2023-03-10,163.14,164.69,161.92,163.21,44257555
2023-03-13,163.21,163.28,161.34,162.58,37922841
2023-03-14,162.58,168.04,162.35,167.74,33582372
2023-03-15,167.74,167.78,166.0,166.19,39822424
2023-03-16,166.19,167.52,161.25,161.36,53686149
2023-03-17,161.36,161.54,157.13,159.15,30172437
2023-03-20,159.15,159.49,155.58,155.88,44240060
2023-03-21,155.88,158.92,154.88,158.76,34084731
2023-03-22,158.76,161.88,157.51,161.58,37684536
2023-03-23,161.58,166.2,161.21,164.8,40783720
2023-03-24,164.8,165.36,161.98,162.01,42528779
2023-03-27,162.01,163.7,161.26,163.39,30999963
2023-03-28,163.39,163.81,159.32,160.81,35000497
2023-03-29,160.81,162.87,160.76,161.88,47011555
2023-03-30,161.88,162.37,160.61,161.04,51746022
2023-03-31,161.04,163.67,158.9,163.35,37708927
2023-04-03,163.35,165.04,163.21,164.83,58845542
2023-04-04,164.83,169.32,164.57,168.38,41855028
2023-04-05,168.38,171.21,166.86,170.29,20842697
2023-04-06,170.29,170.36,169.95,170.19,31072926
2023-04-07,170.19,171.57,167.12,167.34,41330485
2023-04-10,167.34,170.27,167.21,169.73,50143348
2023-04-11,169.73,170.18,169.13,169.48,32736695
2023-04-12,169.48,169.58,164.24,164.41,34739607
2023-04-13,164.41,164.65,161.71,162.83,38344296
2023-04-14,162.83,163.22,161.69,161.74,26617109
2023-04-17,161.74,161.78,160.33,161.52,46491263
2023-04-18,161.52,164.39,161.09,163.92,27745557
2023-04-19,163.92,164.98,163.42,164.7,55994418
2023-04-20,164.7,167.34,164.34,166.08,34333293
2023-04-21,166.08,166.46,165.82,166.15,19647637
2023-04-24,166.15,166.66,162.67,163.52,55128375
2023-04-25,163.52,169.09,163.02,167.71,20753388
2023-04-26,167.71,171.74,166.95,171.57,56089108
2023-04-27,171.57,174.49,171.37,173.18,31419740
2023-04-28,173.18,173.85,172.23,173.52,25190422
2023-05-01,173.52,175.63,172.95,174.36,39895838
2023-05-02,174.36,175.41,173.91,174.93,38873452
2023-05-03,174.93,176.16,172.14,172.68,36496037
2023-05-04,172.68,173.23,170.37,171.21,36681695
2023-05-05,171.21,172.51,170.79,172.38,36956187
2023-05-08,172.38,174.42,171.81,174.3,44051456
2023-05-09,174.3,174.9,173.43,174.08,31333368
2023-05-10,174.08,174.68,171.72,171.75,52130908
2023-05-11,171.75,177.32,170.69,177.3,34566918
2023-05-12,177.3,178.36,177.01,177.19,40582516
2023-05-15,177.19,177.73,175.58,176.12,54080153
2023-05-16,176.12,176.7,175.53,175.79,46589093
2023-05-17,175.79,176.13,173.67,174.18,44742060
2023-05-18,174.18,178.05,173.39,177.66,30864317
2023-05-19,177.66,178.51,176.16,176.75,38018877
2023-05-22,176.75,177.14,173.43,173.87,29685036
2023-05-23,173.87,174.04,170.9,172.36,41246868
2023-05-24,172.36,173.25,171.65,172.85,43502963
2023-05-25,172.85,173.31,170.97,171.45,24355337
2023-05-26,171.45,171.88,170.67,170.72,39900138
2023-05-29,170.72,171.65,170.57,170.88,35165069
2023-05-30,170.88,171.37,167.69,168.05,51057285
2023-05-31,168.05,168.07,166.32,166.36,37211502
2023-06-01,166.36,167.59,165.81,166.45,43878852
2023-06-02,166.45,170.67,166.24,169.15,37674711
2023-06-05,169.15,170.56,167.98,169.24,42371911
2023-06-06,169.24,170.99,164.48,165.82,25564082
2023-06-07,165.82,168.96,165.67,168.37,27528385
2023-06-08,168.37,170.63,167.48,169.88,29062051
2023-06-09,169.88,169.96,168.11,168.13,50822210
2023-06-12,168.13,169.29,167.75,168.48,32844944
2023-06-13,168.48,170.52,168.4,170.26,45826464
2023-06-14,170.26,170.35,168.94,169.06,51753631
2023-06-15,169.06,169.3,168.19,168.9,44174469
2023-06-16,168.9,169.13,166.3,167.58,47388682
2023-06-19,167.58,168.1,163.82,164.52,25989763
2023-06-20,164.52,164.57,163.75,164.4,50086397
2023-06-21,164.4,169.24,163.45,167.92,45274089
2023-06-22,167.92,168.18,164.84,164.92,44226650
2023-06-23,164.92,164.98,163.96,164.47,49631254
2023-06-26,164.47,164.7,163.06,163.4,38956911
2023-06-27,163.4,163.5,162.42,163.08,45167715
2023-06-28,163.08,166.53,162.6,166.37,45542610
2023-06-29,166.37,168.8,166.23,168.6,45776065
2023-06-30,168.6,169.49,168.58,168.83,21004261
2023-07-03,168.83,169.16,167.99,168.88,39361495
2023-07-04,168.88,171.15,168.19,171.14,25297582
2023-07-05,171.14,172.08,168.46,168.89,36131467
2023-07-06,168.89,170.36,168.18,170.31,47541735
2023-07-07,170.31,170.49,168.48,168.84,23408191
2023-07-10,168.84,171.31,168.83,170.5,33561270
2023-07-11,170.5,174.8,170.38,173.17,39289555
2023-07-12,173.17,174.14,171.19,171.86,35649584
2023-07-13,171.86,172.12,171.36,171.72,26226200
2023-07-14,171.72,175.82,171.17,175.1,28150976
2023-07-17,175.1,181.7,174.97,180.27,29862014
2023-07-18,180.27,180.58,177.51,178.16,37692102
2023-07-19,178.16,182.04,176.73,180.95,52100375
2023-07-20,180.95,181.97,177.68,177.88,28719711
2023-07-21,177.88,179.72,177.14,177.3,54225708
2023-07-24,177.3,177.49,173.56,174.6,43744137
2023-07-25,174.6,175.95,173.97,174.12,34650380
2023-07-26,174.12,175.88,173.18,175.53,40717529
2023-07-27,175.53,175.64,174.91,175.17,33407122
2023-07-28,175.17,177.5,174.39,176.27,53636829
2023-07-31,176.27,176.81,174.04,175.74,39395194
2023-08-01,175.74,179.77,174.56,179.19,39087376
2023-08-02,179.19,180.15,176.68,177.94,38920612
2023-08-03,177.94,179.76,177.72,179.48,30813347
2023-08-04,179.48,179.88,176.34,177.07,36170528
2023-08-07,177.07,177.72,176.91,177.09,31157119
2023-08-08,177.09,177.51,176.96,177.15,42249357
2023-08-09,177.15,177.42,172.93,173.12,43770462
2023-08-10,173.12,173.23,168.5,169.32,36392503
2023-08-11,169.32,169.62,168.99,169.16,44071736
2023-08-14,169.16,169.5,168.63,169.4,36466059
2023-08-15,169.4,172.58,169.29,172.44,33576469
2023-08-16,172.44,175.0,171.81,174.41,29567239
2023-08-17,174.41,174.55,171.81,171.9,40678015
2023-08-18,171.9,174.81,171.59,174.52,29811644
2023-08-21,174.52,178.12,174.15,177.67,39690906
2023-08-22,177.67,177.9,175.43,175.78,37827342
2023-08-23,175.78,177.12,175.66,176.16,31772653
2023-08-24,176.16,176.27,172.27,173.56,44287129
2023-08-25,173.56,175.74,172.87,175.7,29491680
2023-08-28,175.7,177.4,175.27,175.4,43979888
2023-08-29,175.4,175.74,174.57,174.7,41155796
2023-08-30,174.7,177.46,174.22,177.45,33848614
2023-08-31,177.45,179.08,177.22,177.97,28527260
2023-09-01,177.97,179.46,175.64,175.87,25748081
2023-09-04,175.87,177.26,172.13,172.91,43115730
2023-09-05,172.91,174.12,169.68,169.8,34929458
2023-09-06,169.8,171.4,169.79,170.9,26320152
2023-09-07,170.9,171.24,170.27,170.67,25062848
2023-09-08,170.67,173.66,170.39,173.37,38143660
2023-09-11,173.37,176.13,173.14,175.94,44139200
2023-09-12,175.94,182.31,175.47,181.3,27899475
2023-09-13,181.3,191.81,181.03,190.9,31700997
2023-09-14,190.9,195.65,189.81,195.32,40408284
2023-09-15,195.32,197.15,194.37,196.89,31474699
2023-09-18,196.89,196.91,195.36,195.77,44616983
2023-09-19,195.77,197.12,192.67,193.24,50140015
2023-09-20,193.24,195.05,191.39,191.77,27520165
2023-09-21,191.77,191.96,188.71,189.61,59371207
2023-09-22,189.61,190.12,185.96,187.05,37017196
2023-09-25,187.05,187.26,184.25,184.52,45881768
2023-09-26,184.52,185.77,184.49,184.74,31939776
2023-09-27,184.74,185.26,178.14,179.17,43281689
2023-09-28,179.17,185.48,178.76,184.12,33793450
2023-09-29,184.12,186.75,183.81,185.96,36716276
2023-10-02,185.96,191.87,185.6,191.78,39079225
2023-10-03,191.78,194.21,191.59,193.42,27502754
2023-10-04,193.42,194.87,192.17,192.74,37167110
2023-10-05,192.74,192.98,189.5,190.3,32944818
2023-10-06,190.3,195.31,190.08,194.24,53684878
2023-10-09,194.24,195.16,187.46,188.86,37189281
2023-10-10,188.86,189.48,186.1,188.48,20739711
2023-10-11,188.48,188.51,186.39,187.06,36012197
2023-10-12,187.06,187.36,183.41,184.03,40196191
2023-10-13,184.03,186.66,183.55,185.6,35138073
2023-10-16,185.6,186.02,185.56,185.8,23940391
2023-10-17,185.8,187.52,185.09,186.84,23706864
2023-10-18,186.84,190.06,185.98,189.95,40450715
2023-10-19,189.95,190.77,184.94,185.5,31108855
2023-10-20,185.5,185.63,182.61,182.74,28893193
2023-10-23,182.74,183.09,180.09,181.98,42523971
2023-10-24,181.98,182.93,179.16,179.98,23783614
2023-10-25,179.98,184.21,179.53,183.05,43376030
2023-10-26,183.05,184.26,182.14,182.28,36251093
2023-10-27,182.28,186.06,180.06,185.63,23186953
2023-10-30,185.63,186.44,184.77,185.64,45396541
2023-10-31,185.64,188.26,185.09,187.68,19732881
2023-11-01,187.68,192.64,187.48,192.25,46401638
2023-11-02,192.25,195.1,191.0,194.34,31575476
2023-11-03,194.34,195.23,193.6,194.95,28922280
2023-11-06,194.95,197.1,194.41,195.38,45835065
2023-11-07,195.38,196.0,193.97,195.4,38959777
2023-11-08,195.4,199.53,194.94,198.83,46137950
2023-11-09,198.83,199.7,196.28,196.82,30752846
2023-11-10,196.82,198.41,196.57,196.89,46422063
2023-11-13,196.89,196.95,194.04,194.95,32860042
2023-11-14,194.95,197.34,193.82,197.31,36178252
2023-11-15,197.31,198.32,196.33,196.84,24322118
2023-11-16,196.84,200.84,195.14,200.51,38400763
2023-11-17,200.51,201.91,198.87,199.46,32773087
2023-11-20,199.46,200.3,196.44,196.99,25076679
2023-11-21,196.99,198.26,193.07,194.23,23962924
2023-11-22,194.23,194.76,191.94,192.89,42304437
2023-11-23,192.89,193.22,192.48,192.84,52335916
2023-11-24,192.84,193.93,190.84,193.56,32116389
2023-11-27,193.56,193.89,187.47,187.76,31931320
2023-11-28,187.76,189.97,187.32,189.19,24017516
2023-11-29,189.19,189.51,188.17,188.58,36854629
2023-11-30,188.58,194.09,188.24,193.77,13164432
2023-12-01,193.77,198.94,192.86,198.65,49888140
2023-12-04,198.65,202.25,197.51,202.16,41770784
2023-12-05,202.16,203.11,199.65,200.49,18806671
2023-12-06,200.49,202.53,198.84,202.16,40926564
2023-12-07,202.16,202.83,196.36,196.41,41200072
2023-12-08,196.41,200.75,196.15,199.19,46728748
2023-12-11,199.19,205.09,198.88,203.57,47878447
2023-12-12,203.57,209.53,202.99,208.53,45450172
2023-12-13,208.53,209.74,205.5,206.31,34876398
2023-12-14,206.31,206.79,205.99,206.31,40094744
2023-12-15,206.31,206.37,203.24,203.44,37303801
2023-12-18,203.44,204.08,199.9,201.41,32588813
2023-12-19,201.41,205.7,199.27,204.97,31149253
2023-12-20,204.97,205.61,203.07,203.23,42269582
2023-12-21,203.23,205.86,202.62,205.12,26993999
2023-12-22,205.12,205.22,204.57,204.71,31454231
2023-12-25,204.71,208.15,203.44,207.39,44401771
2023-12-26,207.39,208.57,206.88,208.01,32133665
2023-12-27,208.01,213.31,206.37,211.85,38317031
2023-12-28,211.85,213.25,211.85,212.9,43573598
2023-12-29,212.9,213.06,211.12,212.62,39482438
2024-01-01,212.62,213.66,212.49,212.91,40624600
2024-01-02,212.91,213.94,212.77,212.8,27768037
2024-01-03,212.8,214.52,212.02,213.51,44743112
2024-01-04,213.51,214.52,213.16,214.44,20315014
2024-01-05,214.44,214.56,210.94,211.23,37285438
2024-01-08,211.23,211.34,207.96,208.34,28382626
2024-01-09,208.34,209.56,207.35,209.39,43989788
2024-01-10,209.39,211.9,208.68,211.62,29579355
2024-01-11,211.62,214.06,206.46,207.35,36111513
2024-01-12,207.35,207.58,205.9,206.39,21184896
2024-01-15,206.39,207.54,203.48,203.59,31842205
2024-01-16,203.59,203.76,201.24,201.71,46388847
2024-01-17,201.71,201.89,199.63,200.7,43911857
2024-01-18,200.7,201.03,199.38,199.64,36439011
2024-01-19,199.64,200.64,198.57,200.33,46408599
2024-01-22,200.33,202.71,199.45,201.76,32025245
2024-01-23,201.76,202.12,200.43,201.15,48593666
2024-01-24,201.15,202.86,200.77,201.24,14733332
2024-01-25,201.24,201.68,198.72,199.2,35072718
2024-01-26,199.2,199.68,196.99,198.18,48934120
2024-01-29,198.18,199.18,193.83,195.09,30668490
2024-01-30,195.09,201.12,194.65,199.34,26718552
2024-01-31,199.34,199.48,197.67,199.02,30704569
2024-02-01,199.02,199.52,198.7,198.9,30601394
2024-02-02,198.9,198.98,198.12,198.82,29512528
2024-02-05,198.82,199.08,197.52,197.65,36332477
2024-02-06,197.65,198.23,197.02,197.68,41966571
2024-02-07,197.68,198.6,194.56,194.73,26511130
2024-02-08,194.73,195.71,194.13,195.58,48429646
2024-02-09,195.58,196.13,194.18,194.65,29170204
2024-02-12,194.65,194.87,192.68,192.7,33577786
2024-02-13,192.7,192.96,190.4,190.78,28638589
2024-02-14,190.78,190.98,189.64,190.45,45444587
2024-02-15,190.45,192.82,190.35,192.79,42745772
2024-02-16,192.79,193.47,191.5,192.78,38724437
2024-02-19,192.78,194.72,192.52,194.04,27845259
2024-02-20,194.04,197.82,192.66,196.58,45833900
2024-02-21,196.58,197.22,195.21,197.18,29483966
2024-02-22,197.18,197.65,193.85,194.05,28941776
2024-02-23,194.05,194.66,193.42,194.55,52427473
2024-02-26,194.55,195.54,190.55,190.84,36132654
2024-02-27,190.84,192.5,190.05,192.03,32190108
2024-02-28,192.03,192.43,189.9,190.27,44852873
2024-02-29,190.27,192.71,189.58,191.91,45059175
2024-03-01,191.91,194.46,191.71,194.06,21528855
2024-03-04,194.06,195.45,193.74,194.93,42747356
2024-03-05,194.93,195.72,191.05,191.31,33341594
2024-03-06,191.31,192.72,191.28,191.84,22803630
2024-03-07,191.84,192.39,185.15,186.13,32960740
2024-03-08,186.13,187.18,182.22,182.51,34308844
2024-03-11,182.51,185.42,182.32,185.09,44819151
2024-03-12,185.09,188.37,184.79,188.06,47167430
2024-03-13,188.06,193.3,186.73,192.79,46339390
2024-03-14,192.79,196.01,191.93,195.16,37554648
2024-03-15,195.16,195.62,190.01,190.67,32013601
2024-03-18,190.67,193.21,190.3,192.17,47210963
2024-03-19,192.17,193.04,190.86,192.81,49671231
2024-03-20,192.81,193.83,190.05,190.52,37841691
2024-03-21,190.52,191.46,189.66,190.64,42066747
2024-03-22,190.64,192.74,190.48,192.11,47030710
2024-03-25,192.11,193.0,190.01,190.28,25399253
2024-03-26,190.28,191.58,190.01,191.44,31373717
2024-03-27,191.44,192.54,189.58,190.87,27845490
2024-03-28,190.87,191.75,188.74,189.18,44482208
2024-03-29,189.18,193.52,188.39,193.27,45598411
2024-04-01,193.27,195.76,192.3,195.51,49152354
2024-04-02,195.51,198.24,194.9,197.16,25031203
2024-04-03,197.16,198.05,195.41,195.91,30500200
2024-04-04,195.91,196.48,194.07,194.3,43658584
2024-04-05,194.3,197.65,194.24,197.35,42843376
2024-04-08,197.35,202.87,196.26,202.15,47170682
2024-04-09,202.15,206.69,201.44,205.22,39916323
2024-04-10,205.22,205.89,204.87,205.46,41745626
2024-04-11,205.46,209.2,205.28,207.96,32953818
2024-04-12,207.96,208.28,205.0,205.27,32068669
2024-04-15,205.27,205.5,203.14,203.14,28175236
2024-04-16,203.14,203.29,200.51,200.83,28552569
2024-04-17,200.83,202.95,198.64,202.29,29530974
2024-04-18,202.29,202.44,199.41,200.13,45448681
2024-04-19,200.13,205.57,199.99,205.26,33340163
2024-04-22,205.26,206.51,204.52,205.34,29861975
2024-04-23,205.34,210.84,204.94,209.86,32067043
2024-04-24,209.86,210.81,209.47,210.14,35151760
2024-04-25,210.14,210.92,203.49,203.65,47706347
2024-04-26,203.65,203.8,202.44,203.34,41490173
2024-04-29,203.34,206.87,203.21,204.24,39522671
2024-04-30,204.24,209.96,203.39,209.28,25111407
2024-05-01,209.28,211.46,208.66,210.93,25817959
2024-05-02,210.93,215.01,210.85,213.99,38293098
2024-05-03,213.99,216.41,213.44,216.1,28225225
2024-05-06,216.1,217.14,215.11,215.65,42771948
2024-05-07,215.65,215.91,214.1,215.44,45721327
2024-05-08,215.44,215.55,213.16,214.12,31191494
2024-05-09,214.12,217.9,214.09,217.79,43004410
2024-05-10,217.79,218.31,214.03,214.08,47326492
2024-05-13,214.08,214.39,213.2,213.51,37465689
2024-05-14,213.51,213.68,209.03,210.09,37162066
2024-05-15,210.09,210.69,206.07,207.61,18917594
2024-05-16,207.61,207.84,207.43,207.69,29964953
2024-05-17,207.69,208.85,207.15,207.33,23462130
2024-05-20,207.33,207.55,205.53,206.98,33297473
2024-05-21,206.98,210.64,205.74,209.35,41059266
2024-05-22,209.35,210.47,204.49,205.81,44013640
2024-05-23,205.81,205.99,203.05,203.57,39631633
2024-05-24,203.57,210.57,201.14,210.06,35388202
2024-05-27,210.06,210.23,207.97,207.98,32139713
2024-05-28,207.98,209.11,204.41,204.9,31963345
2024-05-29,204.9,207.49,203.86,206.93,28502180
2024-05-30,206.93,209.78,205.98,209.28,36267957
2024-05-31,209.28,209.31,201.26,202.7,36045655
2024-06-03,202.7,203.03,201.41,202.62,27958439
2024-06-04,202.62,202.82,199.27,200.3,44381768
2024-06-05,200.3,201.33,197.97,199.06,44165191
2024-06-06,199.06,199.25,198.14,198.65,31883824
2024-06-07,198.65,200.97,196.74,200.96,35261650
2024-06-10,200.96,205.14,200.02,204.61,50245600
2024-06-11,204.61,206.44,200.97,201.65,47620580
2024-06-12,201.65,202.09,200.38,201.88,44406812
2024-06-13,201.88,202.47,199.11,200.11,32969288
2024-06-14,200.11,201.87,196.32,197.24,49000951
2024-06-17,197.24,197.68,193.39,194.29,45790464
2024-06-18,194.29,194.75,194.21,194.37,27460757
2024-06-19,194.37,195.02,191.76,191.8,44969615
2024-06-20,191.8,192.65,183.02,183.38,57555715
2024-06-21,183.38,183.41,181.67,182.15,30117843
2024-06-24,182.15,184.92,181.21,184.45,45138856
2024-06-25,184.45,186.34,184.29,185.8,40699204
2024-06-26,185.8,186.21,179.91,180.58,26586373
2024-06-27,180.58,184.35,180.35,183.89,27671025
2024-06-28,183.89,185.55,183.05,185.21,50186630
2024-07-01,185.21,188.69,184.3,188.53,49913885
2024-07-02,188.53,188.87,184.62,185.17,41992019
2024-07-03,185.17,189.37,183.92,189.37,35522674
2024-07-04,189.37,190.18,188.3,189.91,35771486
2024-07-05,189.91,190.26,185.31,186.17,53299031
2024-07-08,186.17,188.0,185.36,186.95,59323218
2024-07-09,186.95,187.62,181.42,181.78,39581122
2024-07-10,181.78,183.08,181.27,182.72,50698908
2024-07-11,182.72,184.15,178.25,179.34,27324784
2024-07-12,179.34,180.42,178.99,179.4,36538323
2024-07-15,179.4,180.24,178.03,178.46,37911569
